,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
0,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,387832,7534,375986,4311
1,MH,Maharashtra,MH_Pune,Pune,372103,13743,350564,7760
2,MH,Maharashtra,MH_Mumbai,Mumbai,292722,9049,271708,11107
3,MH,Maharashtra,MH_Thane,Thane,254074,10159,238283,5573
4,TN,Tamil Nadu,TN_Chennai,Chennai,225252,2681,218570,4001
5,MH,Maharashtra,MH_Nagpur,Nagpur,124881,4166,117497,3200
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,123653,357,122660,636
7,WB,West Bengal,WB_Kolkata,Kolkata,123033,2837,117251,2945
8,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,116441,2070,112046,2325
9,MH,Maharashtra,MH_Nashik,Nashik,114991,1749,111347,1894
10,AP,Andhra Pradesh,AP_West Godavari,West Godavari,93833,151,93147,535
11,KL,Kerala,KL_Malappuram,Malappuram,90432,4981,85103,338
12,AP,Andhra Pradesh,AP_Chittoor,Chittoor,86080,353,84886,841
13,KL,Kerala,KL_Kozhikode,Kozhikode,85759,5469,79984,292
14,KL,Kerala,KL_Ernakulam,Ernakulam,82934,8532,74083,307
15,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,81478,3198,77557,652
16,UP,Uttar Pradesh,UP_Lucknow,Lucknow,78257,2806,74340,1111
17,TG,Telangana,TG_Hyderabad,Hyderabad,78033,77705,305,23
18,AP,Andhra Pradesh,AP_Guntur,Guntur,74719,513,73542,664
19,KL,Kerala,KL_Thrissur,Thrissur,74019,5981,67708,322
20,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,68949,1685,66220,1043
21,AP,Andhra Pradesh,AP_Anantapur,Anantapur,67323,145,66581,597
22,MH,Maharashtra,MH_Raigad,Raigad,66240,489,64257,1487
23,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,62076,472,61099,505
24,AP,Andhra Pradesh,AP_Prakasam,Prakasam,62014,104,61331,579
25,AP,Andhra Pradesh,AP_Kurnool,Kurnool,60555,57,60011,487
26,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,59134,250,58334,550
27,KL,Kerala,KL_Kollam,Kollam,59005,4698,54076,216
28,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,57474,2916,52312,2246
29,RJ,Rajasthan,RJ_Jaipur,Jaipur,57118,2396,54222,500
30,KL,Kerala,KL_Alappuzha,Alappuzha,56904,3941,52703,239
31,HR,Haryana,HR_Gurugram,Gurugram,56744,975,55426,343
32,MH,Maharashtra,MH_Jalgaon,Jalgaon,56069,444,54158,1447
33,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,54972,169,54343,460
34,MP,Madhya Pradesh,MP_Indore,Indore,54684,2955,50858,871
35,MH,Maharashtra,MH_Satara,Satara,54438,755,51918,1755
36,MH,Maharashtra,MH_Solapur,Solapur,53309,802,50733,1758
37,OR,Odisha,OR_Khordha,Khordha,52685,128,52225,332
38,CT,Chhattisgarh,CT_Raipur,Raipur,52529,4462,47350,717
39,KA,Karnataka,KA_Mysuru,Mysuru,52346,446,50887,1013
40,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,52247,821,50774,652
41,KL,Kerala,KL_Kottayam,Kottayam,50767,6946,43669,149
42,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,50161,34639,15370,152
43,MH,Maharashtra,MH_Sangli,Sangli,50126,327,48028,1768
44,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,49956,583,48630,743
45,GJ,Gujarat,GJ_Surat,Surat,49277,1138,47174,965
46,MH,Maharashtra,MH_Kolhapur,Kolhapur,49121,494,46965,1659
47,BR,Bihar,BR_Patna,Patna,48758,1864,46516,378
48,MH,Maharashtra,MH_Aurangabad,Aurangabad,47821,976,45623,1207
49,KL,Kerala,KL_Palakkad,Palakkad,47777,4886,42758,126
50,AP,Andhra Pradesh,AP_Krishna,Krishna,47742,545,46531,666
51,MH,Maharashtra,MH_Palghar,Palghar,46687,338,45421,911
52,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,45938,95,45497,346
53,HR,Haryana,HR_Faridabad,Faridabad,45468,427,44639,402
54,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,43726,897,42541,288
55,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,42609,400,41531,678
56,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,41014,45,40731,238
57,KL,Kerala,KL_Kannur,Kannur,39493,3509,35777,199
58,MP,Madhya Pradesh,MP_Bhopal,Bhopal,39123,1994,36554,575
59,KA,Karnataka,KA_Ballari,Ballari,38848,203,38048,597
60,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,35959,419,34864,676
61,WB,West Bengal,WB_Howrah,Howrah,34563,699,32863,1001
62,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,32849,296,31817,734
63,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,32256,530,30904,822
64,TN,Tamil Nadu,TN_Salem,Salem,31547,348,30742,457
65,PY,Puducherry,PY_Puducherry,Puducherry,30453,221,29714,518
66,JH,Jharkhand,JH_Ranchi,Ranchi,30447,789,29441,217
67,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,29987,5907,24026,52
68,OR,Odisha,OR_Cuttack,Cuttack,28713,176,28395,142
69,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,28697,298,27965,434
70,WB,West Bengal,WB_Hooghly,Hooghly,28450,809,27185,456
71,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,28346,586,27374,386
72,KA,Karnataka,KA_Hassan,Hassan,28000,249,27358,393
73,UT,Uttarakhand,UT_Dehradun,Dehradun,27174,1556,24366,843
74,KA,Karnataka,KA_Belagavi,Belagavi,26236,193,25701,342
75,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,26031,438,25491,102
76,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,25264,565,24250,449
77,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,24917,423,24404,90
78,PB,Punjab,PB_Ludhiana,Ludhiana,24737,343,23432,962
79,GJ,Gujarat,GJ_Vadodara,Vadodara,24685,1959,22491,235
80,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,24662,127,24252,283
81,KA,Karnataka,KA_Tumakuru,Tumakuru,24507,341,23789,377
82,KL,Kerala,KL_Kasaragod,Kasaragod,24064,1595,22380,85
83,JK,Jammu and Kashmir,JK_Jammu,Jammu,23726,846,22525,355
84,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,23591,23572,17,2
85,MH,Maharashtra,MH_Latur,Latur,23264,387,22193,680
86,MH,Maharashtra,MH_Chandrapur,Chandrapur,23226,775,22061,389
87,KA,Karnataka,KA_Udupi,Udupi,23039,62,22789,188
88,CT,Chhattisgarh,CT_Durg,Durg,22601,1502,20535,564
89,UP,Uttar Pradesh,UP_Varanasi,Varanasi,22511,698,21379,434
90,KA,Karnataka,KA_Shivamogga,Shivamogga,22025,194,21483,348
91,KA,Karnataka,KA_Davanagere,Davanagere,22011,116,21631,264
92,KA,Karnataka,KA_Dharwad,Dharwad,21859,111,21140,608
93,OR,Odisha,OR_Ganjam,Ganjam,21805,19,21532,254
94,UP,Uttar Pradesh,UP_Meerut,Meerut,21696,1075,20194,427
